"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of intracellular signal transduction","GO:1902531","true","6.182182250249482e-9","8.208858196116617","1437","790","127","16307","MARCO,KANK2,CD36,PRKCA,PLEKHG1,MAP4K4,ABCA1,TGM2,MYC,IL18,RALGPS1,CCL18,PDE4D,AUTS2,MDM2,ALOX15,RPTOR,CCL23,CCL26,EIF2AK2,TRIM38,TNFSF10,GBP1,LAPTM5,DEPTOR,FAS,LRRK2,ARHGEF3,SESN1,TRIAP1,STAT1,RACK1,OBSCN,RGS2,PHLDA3,TPT1,PDE2A,PIK3CG,ARHGAP32,PLK2,IFI35,CASP1,CEACAM1,RTN4R,DENND1A,TRIM5,PRKCB,CARD16,IFIT5,PTK2,RPL5,ATP2B4,EMILIN1,PTPN13,TRIM22,LARS1,SHISA5,BCL2L11,RPL23,RPL26,S100A8,DUSP1,HBEGF,NUPR1,DOCK3,PLAUR,PTPN22,ARAP3,BRCA2,PRKN,RPS3,SECTM1,BABAM2,DDX21,SH3RF3,RRS1,OPHN1,UNC5B,LILRA5,ECM1,NCK2,TRIM21,GPNMB,P2RY12,MYD88,CXCL12,ARHGAP24,PTK2B,CRACR2A,PRMT5,EPS8L2,RPL37,DOCK8,VAV2,NOD2,TLR7,SLC24A4,ARRDC3,EPHA2,WWC2,TREM2,DLG5,TRAF1,FGD4,TGFA,AXL,NEK6,PDGFA,CCL7,BST1,ZMYND11,RHOC,ARHGAP15,PMAIP1,OSM,CCL13,BST2,BOP1,DOCK2,FZD7,RPS7,LPAR6,TRIM25,RIPOR1,CSF1R,HIPK2,NOP53"
"GO:BP","cellular macromolecule metabolic process","GO:0044260","false","7.238003909334741e-9","8.140381186659976","2734","790","205","16307","HS3ST2,PRKCA,POLD2,FHIT,RPL29,FARS2,MYC,TOB1,ATF4,POLH,AUTS2,MDM2,EEF1B2,RPL34,RPL10A,PCNA,SHMT2,PARP9,RPL3,EIF2AK2,RPS17,EXT1,RPS8,IL7R,RPL13A,LAPTM5,XPC,LRRK2,B3GNT5,EIF3E,RACK1,RPL14,RPS21,TRIB3,AARS1,SND1,APOBEC3C,RPL32,MAN1C1,RPL10,HERC6,RPL15,IARS1,DNAJC10,TOP1MT,CDKN1A,ACER2,RRM2B,CTIF,RPS14,NPM1,APOBEC3A,HS6ST1,PPM1D,RPL27A,ZNRF3,MAN1A1,RPS27L,RPL12,RPL35,REV3L,FTO,EEF2,RPS5,WARS2,RPS6,FBXL17,RPL22,FBL,DIS3L2,RPS23,MYLIP,EIF4EBP1,NBAS,KLHL3,PTK2,RPL7A,RPL5,TARS1,ZDHHC14,RPS2,RPL31,EIF2S3,RPL4,PSME4,LARS1,FAF1,RPS4X,PUS7,MARS1,RPL23,RPL26,RPL13,SMYD5,MGMT,RPS16,RPL22L1,DIMT1,BRCA2,EIF4B,RPS12,PRKN,RPS3,BABAM2,TYMS,RAD51B,SUPT3H,EIF3L,DTX3L,SH3RF3,RPL8,SMYD3,DDB2,MRPS27,RPL18,GALNT11,APOBEC3G,XXYLT1,ANG,SERBP1,LIG1,BEND3,RPS15A,DKC1,LDLR,TENT5A,HERC5,PIGU,XYLT1,YARS1,RPL37A,RPS11,RPS24,ASCC3,XRN1,APOBEC3F,EIF2A,DPH2,ACVRL1,NCK2,SPIRE1,EIF3H,PUM3,MYD88,CMTR1,SAMHD1,PTK2B,EIF2D,PRMT5,ST3GAL3,RPLP2,RPS29,RPS13,FBXO22,PABPC1,RPL37,APEX1,CTSL,RPL6,MRPL3,FARSB,DUS3L,EIF3D,BTG2,METTL1,EEFSEC,RNF19B,RPL36,RPLP0,NAT10,RPL24,BZW2,MRPL49,MOV10,DCPS,TWNK,EIF2S2,RPL35A,HS2ST1,GAL3ST4,FUT8,CCT2,GARS1,PML,EEF1A1,EPRS1,VARS1,CCNB1IP1,CHMP5,PIGV,SP100,NAP1L1,FAU,EIF3M,DNAJB2,HMGA1,ECE1,RPS7,TRMT1,TRIM25,MRPL24,HHAT,HIPK2,NOP53,NOLC1"
"GO:BP","organonitrogen compound metabolic process","GO:1901564","false","2.190188267342568e-8","7.659518551847677","5451","790","350","16307","DTX1,GPHN,MARCO,HS3ST2,MSRA,CD36,GGT5,PRKCA,PTPRM,PEMT,MACROD1,FHIT,MAP4K4,ALDH7A1,RPL29,FARS2,MME,TGM2,MYC,IL18,TAF4B,TOB1,ATF4,ADAR,TRIM69,SCARB1,PDE4D,AUTS2,MDM2,EEF1B2,RPL34,F13A1,PPM1H,RPTOR,MMP19,RPL10A,IMMP2L,SHMT2,TKT,PARP9,RPL3,EIF2AK2,OLA1,RPS17,EXT1,RPS8,TRIM38,ELOVL6,C3,IFIH1,TNFSF10,PFAS,RPL13A,LAPTM5,DEPTOR,FAS,LRP8,ABHD14B,LRRK2,ERAP2,TRIAP1,B3GNT5,EIF3E,RACK1,RPL14,RPS21,PARP14,TRIB3,CAMK1D,AARS1,HEXB,APOBEC3C,RPL32,CCNA1,MAN1C1,VSIR,RPL10,RGS2,HERC6,RPL15,IARS1,DNAJC10,CDKN1A,ACER2,CTIF,ZBTB20,RPS14,PAICS,TTLL11,NPM1,SRM,ATP1B1,PDE2A,PIK3CG,HS6ST1,HDAC9,PPM1D,RPL27A,MMAB,ZNRF3,ATP2A3,PLSCR1,MEFV,CLYBL,GPT2,MAN1A1,CDK14,CYFIP2,FAXDC2,PLK2,CTSZ,RPS27L,RPL12,RPL35,HTRA1,CHST2,CASP1,FTO,SLC6A8,CEACAM1,EEF2,CPB1,RPS5,WARS2,RPS6,STAT2,FBXL17,RPL22,TP53I3,TRIM5,FBL,DIS3L2,BCKDHB,RPS23,PRKCB,CARD16,MYLIP,EIF4EBP1,KLHL3,PTK2,OLR1,GGT1,RPL7A,RPL5,ATP2B4,TARS1,EMILIN1,ZDHHC14,RPS2,ACACA,RPL31,ADK,PTPN13,MELTF,TRIM22,DNAJC1,EIF2S3,RPL4,PSME4,MCCC2,LARS1,ADA,FAF1,RPS4X,HAP1,ELOVL5,PUS7,PCCA,MARS1,RPS6KA2,DPYD,RPL23,RPL26,S100A8,DUSP1,RIOX2,RPL13,HBEGF,SMYD5,NUPR1,RPS16,RPL22L1,GPX1,DOCK3,PLAUR,PTPN22,BRCA2,EIF4B,RPS12,PRKN,MAST4,RPS3,CREM,NME4,ST14,BABAM2,SDS,PTPRU,PTPRH,TYMS,DDX21,SUPT3H,EIF3L,DTX3L,SH3RF3,RPL8,SMYD3,ME1,DDB2,MRPS27,OPHN1,RPL18,GALNT11,APOBEC3G,PLPP3,XXYLT1,ANG,SERTAD1,VNN2,BEND3,RPS15A,ALDH1L2,GRK5,LDLR,HERC5,PIGU,XYLT1,YARS1,RPL37A,IPO5,ENO2,CDKN2C,MYBBP1A,RPS11,STK17A,IMPDH2,ACSL3,MVK,RPS24,ASCC3,DELE1,MTAP,EIF2A,LILRA5,DPH2,ECM1,ACVRL1,NCK2,CD80,TRIM21,P4HA2,GPNMB,EIF3H,PUM3,GRK6,SAMHD1,PTK2B,EIF2D,PRMT5,ST3GAL3,STRADA,RPLP2,RPS29,PGF,RPS13,FBXO22,PABPC1,RPL37,CTSL,RPL6,HPGDS,MRPL3,FARSB,DUS3L,EIF3D,PRPS2,CHI3L2,BTG2,EEFSEC,RNF19B,NOD2,TLR7,RPL36,ARRDC3,NLN,RPLP0,EPHA2,TREM2,NAT10,DUSP11,RPL24,TRAF1,BZW2,MRPL49,MAOA,MOV10,DCPS,EIF2S2,TGFA,RPL35A,HS2ST1,MLLT3,GAL3ST4,CAMKK1,FUT8,GTF2B,CAD,ADCY4,NEK6,BLVRB,PRKAR1B,ABHD12,S100A10,PDGFA,GARS1,BLMH,BST1,ADPRH,PML,TRIM56,ANXA1,PDK4,EEF1A1,EPRS1,VARS1,ACSL4,FITM2,PMAIP1,CHMP5,EPHB3,TIMP4,PIGV,OSM,USP11,MINDY1,FAU,EIF3M,DNAJB2,ECE1,RPS7,SEC11A,TRIM25,MRPL24,HHAT,CSF1R,HIPK2,NOP53,NOLC1,SLC44A1,TRIM47"
"GO:BP","rRNA metabolic process","GO:0016072","false","2.190188267342568e-8","7.659518551847677","214","790","36","16307","RPL10A,RPS17,RPS8,URB1,RPL14,RPS21,CAVIN1,RPS14,RPL35,RPS6,IMP4,FBL,RPL7A,RPL5,MARS1,RPL26,NOL6,RPS16,DIMT1,RRS1,ANG,NOB1,DKC1,RRP12,NSA2,POLR1E,RPS24,XRN1,DDX10,NIFK,NAT10,RPL35A,BOP1,RPS7,NOP53,NOLC1"
"GO:BP","ncRNA metabolic process","GO:0034660","false","2.190188267342568e-8","7.659518551847677","548","790","64","16307","CDKAL1,FARS2,MYC,ADAR,RPL10A,TDRD7,RPS17,RPS8,URB1,RPL14,RPS21,AARS1,SND1,IARS1,CAVIN1,RPS14,RPL35,WARS2,RPS6,IMP4,INTS6L,FBL,DIS3L2,THG1L,ATOH8,RPL7A,RPL5,TARS1,PPARD,DTD1,LARS1,PUS7,MARS1,RPL26,NOL6,RPS16,ELL2,DIMT1,RRS1,ANG,NOB1,DKC1,RRP12,NSA2,YARS1,POLR1E,RPS24,XRN1,PUS1,DDX10,NIFK,FARSB,DUS3L,METTL1,NAT10,RPL35A,GARS1,EPRS1,VARS1,BOP1,RPS7,TRMT1,NOP53,NOLC1"
"GO:BP","defense response to virus","GO:0051607","true","4.945645637521385e-8","7.305777004671531","221","790","36","16307","ZNFX1,PARP9,EIF2AK2,IFIH1,DDX60L,STAT1,APOBEC3C,ATAD3A,APOBEC3A,OAS1,DDX60,PLSCR1,CASP1,STAT2,TRIM5,IFIT5,IRF1,LILRA4,PTPN22,DTX3L,APOBEC3G,HERC5,APOBEC3F,IFNLR1,TRIM21,MYD88,DHX58,SAMHD1,TLR7,MOV10,OAS3,PML,TRIM56,ZMYND11,PMAIP1,BST2"
"GO:BP","defense response to symbiont","GO:0140546","false","4.945645637521385e-8","7.305777004671531","221","790","36","16307","ZNFX1,PARP9,EIF2AK2,IFIH1,DDX60L,STAT1,APOBEC3C,ATAD3A,APOBEC3A,OAS1,DDX60,PLSCR1,CASP1,STAT2,TRIM5,IFIT5,IRF1,LILRA4,PTPN22,DTX3L,APOBEC3G,HERC5,APOBEC3F,IFNLR1,TRIM21,MYD88,DHX58,SAMHD1,TLR7,MOV10,OAS3,PML,TRIM56,ZMYND11,PMAIP1,BST2"
"GO:BP","regulation of signaling","GO:0023051","false","5.859099911562666e-8","7.232169096177432","2739","790","201","16307","DTX1,MARCO,KANK2,CD36,PRKCA,PLEKHG1,MAP4K4,ABCA1,SYT11,TGM2,MYC,IL18,RALGPS1,WWOX,CCL18,ATF4,PDE4D,AUTS2,MDM2,ALOX15,RPTOR,CCL23,CCL26,PARP9,EIF2AK2,SLC4A8,IL7R,TRIM38,C3,TNFSF10,GBP1,LAPTM5,DEPTOR,FAS,LRP8,LRRK2,ARHGEF3,SESN1,TRIAP1,INSIG1,STAT1,RACK1,OBSCN,PARP14,IGFBP7,ZNF366,RGS2,NPHP4,PHLDA3,GRB10,TPT1,OAS1,PDE2A,PIK3CG,ZNRF3,DDX60,PLSCR1,ARHGAP32,CDK14,EGFL7,PLK2,IFI35,LRRC4,CASP1,CEACAM1,RTN4R,TM7SF3,DAAM2,STAT2,FBXL17,DENND1A,HADH,PXK,ATF3,TRIM5,FFAR2,GNG7,PRKCB,CARD16,IFIT5,PTK2,RPL5,ATP2B4,EMILIN1,PTPN13,TRIM22,BTBD9,IRF1,LARS1,LILRA4,ADA,SHISA5,HAP1,BCL2L11,RPL23,RPL26,S100A8,DUSP1,ITGB8,HBEGF,HCAR2,NUPR1,GPX1,DOCK3,SLC39A14,PLAUR,PTPN22,ARAP3,BRCA2,RPS12,PRKN,SLC30A1,RPS3,SECTM1,BABAM2,PTPRU,DDX21,SH3RF3,RRS1,OPHN1,GALNT11,GRK5,VDR,LDLR,UNC5B,PIGU,LILRA5,LANCL2,ECM1,ACVRL1,NCK2,PADI2,RGS10,CD80,CXCL8,TRIM21,GPNMB,P2RY12,MYD88,CXCL12,ARHGAP24,GRK6,DHX58,SAMHD1,PTK2B,CRACR2A,PRMT5,H2BC11,EPS8L2,RPL37,DOCK8,VAV2,NOD2,TLR7,SLC24A4,ARRDC3,EPHA2,WWC2,TREM2,DLG5,SIPA1L1,TRAF1,FGD4,TGFA,IL10RA,MLLT3,AXL,LRG1,OAS3,NEK6,PDGFA,CCL7,BST1,PML,TRIM56,ANXA1,NPTXR,ACSL4,ZMYND11,RHOC,ARHGAP15,PMAIP1,GCSAM,JPH4,OSM,SP100,CCL13,BST2,LGR4,BOP1,PIP4K2C,DOCK2,FZD7,ECE1,RPS7,LPAR6,TRIM25,RIPOR1,CSF1R,HIPK2,NOP53"
"GO:BP","ribosomal large subunit biogenesis","GO:0042273","false","6.364644351139256e-8","7.1962258591985515","74","790","20","16307","RPL10A,SPATA5,URB1,RPL14,RPL10,NPM1,RPL35,RSL24D1,NOP16,RPL7A,RPL5,RPL26,RRS1,NSA2,NIFK,RPL6,RPLP0,RPL35A,BOP1,NOP53"
"GO:BP","response to cytokine","GO:0034097","false","1.1145315402290098e-7","6.952907636870959","601","790","66","16307","DTX1,PRKCA,MME,IL18,CCL18,ADAR,ALOX15,CCL23,CCL26,SHMT2,PARP9,EIF2AK2,IL7R,IFIH1,RPL13A,GBP1,LAPTM5,LRP8,STAT1,PARP14,OAS1,PDE2A,PLSCR1,MEFV,GBP4,CASP1,CEACAM1,STAT2,CARD16,IRF1,LILRA4,DUSP1,GBP5,PRKN,RPS3,LILRA5,IFNLR1,PADI2,PDE1B,GBP2,CXCL8,TRIM21,MYD88,CXCL12,SAMHD1,PTK2B,H2BC11,DOCK8,TREM2,TRAF1,IL10RA,AXL,OAS3,CCL7,PML,TRIM56,ANXA1,EPRS1,TIMP4,OSM,SP100,CCL13,BST2,IL17RA,RIPOR1,CSF1R"
"GO:BP","rRNA processing","GO:0006364","false","1.2228565985705308e-7","6.912624468639098","177","790","31","16307","RPL10A,RPS17,RPS8,URB1,RPL14,RPS21,RPS14,RPL35,RPS6,IMP4,FBL,RPL7A,RPL5,RPL26,NOL6,RPS16,DIMT1,RRS1,NOB1,DKC1,RRP12,NSA2,RPS24,DDX10,NIFK,NAT10,RPL35A,BOP1,RPS7,NOP53,NOLC1"
